x-position,y-position,real part of ef,imaginary part of ef,reduced shear
   1.46599,   1.98657,  -0.04519,  -0.62283,  0.065290
   0.87888,   1.81358,   0.13201,  -0.14694,  0.082808
   0.31924,  -0.73237,   0.17220,   0.51213,  0.217983
  -0.53590,   0.52868,  -0.18649,   0.66322,  0.231013
  -1.70958,   1.23533,   0.27840,  -0.20103,  0.078581
   1.61191,  -0.42966,   0.27734,  -0.38021,  0.102367
  -1.42420,  -1.72290,   0.12176,  -0.29212,  0.073444
  -0.01643,   0.62093,   0.35057,   0.00505,  0.278694
   1.51809,   0.32827,  -0.43757,   0.07630,  0.110659
   0.11208,   1.37142,  -0.00257,   0.30263,  0.125950
  -0.62123,  -1.38524,   0.19614,  -0.28936,  0.113417
  -0.25586,  -0.81145,   0.31298,   0.10629,  0.204956
   0.65744,  -1.51697,   0.08024,   0.06520,  0.103380
   0.28187,   0.59122,   0.44977,   0.00540,  0.264593
  -0.97529,   1.15907,  -0.20122,   0.01551,  0.113688
  -0.36624,  -0.79305,  -0.02945,   0.14367,  0.199725
  -1.35335,   1.52389,   0.27273,   0.65282,  0.081748
   0.97263,  -1.89460,  -0.04722,   0.22389,  0.077707
  -1.17298,   0.79212,   0.48588,   0.19672,  0.122243
  -1.07831,  -0.43719,  -0.00092,  -0.55703,  0.149907
  -0.51242,   0.23388,  -0.53434,  -0.09066,  0.306927
   1.05549,   0.01786,  -0.13266,   0.07502,  0.165463
  -1.19473,  -0.93038,   0.15470,   0.26639,  0.113732
  -1.37079,  -0.94960,   0.10429,  -0.36781,  0.102409
  -0.95868,   1.57172,   0.33802,  -0.05182,  0.091751
  -0.72410,   1.36052,  -0.32230,   0.28999,  0.111589
  -0.34785,  -0.82660,   0.27855,  -0.30788,  0.194619
   0.13871,   1.74566,   0.29500,  -0.47927,  0.097023
   1.53060,   0.45149,   0.08865,  -0.10190,  0.107456
   0.88631,   1.70152,   0.27419,   0.29177,  0.087583
   1.23902,  -1.05980,  -0.02507,   0.63618,  0.104968
   1.12967,  -0.18135,   0.07247,  -0.08720,  0.152507
  -1.88603,   0.60542,   0.17320,   0.30425,  0.084458
   0.83551,  -1.66418,  -0.31051,   0.45876,  0.090582
  -1.55900,  -0.39409,  -0.18370,  -0.22742,  0.106565
   1.77214,  -0.56890,   0.47874,   0.35048,  0.090633
  -0.17722,   1.05837,   0.03154,  -0.08632,  0.162750
   1.94774,   1.00567,  -0.00531,   0.45371,  0.075142
  -0.07659,   0.82293,  -0.07207,  -0.02186,  0.210872
   0.74192,  -1.99536,   0.10506,   0.30514,  0.077743
   0.17717,   0.84470,   0.46096,  -0.22402,  0.202102
  -1.34725,   0.60688,   0.12158,   0.41932,  0.116761
  -0.97900,  -0.24861,  -0.08775,  -0.04767,  0.172951
